Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD]
2005,YR2005,Aruba,ABW,94483,1.00307718391638,180,524.905555555556,..,..,1925065881.92444,20370,2730958520.78107,28900,..,73.811,1.777,38.691,..,..,..,..,..,88.1979675292969,111.37671661377,95.9417572021484,0.963389992713928,..,4.2,..,..,0.193588048559493,..,..,..,2359776536.31285,-0.384927066450572,5.06249126984655,0.0173295454545455,16.2991240530303,68.0871212121212,76.9886363636364,33.1676136363636,..,..,..,..,..,109.4556693,..,..,368.848484848485,112.2681966,..,..,579,819846.096273242,-207798005.868163,..
2005,YR2005,Australia,AUS,20176844,1.21729073052406,7741220,2.62640667508428,..,..,619934630194.629,30730,641519898354.601,31790,..,80.8414634146341,1.807,15.998,..,99.4,5.7,..,94,..,102.739318847656,..,..,0.1,1306801,..,3.80756097560976,1.35808044012136,5624.19201932671,18.3423134132321,10571.4253428336,695328522026.763,3.15375271041142,3.82436039577365,2.88693365739529,24.6308353316914,18.2345398442686,20.9480542227162,27.4719274839284,27.011350097197,3,..,24.7683598471662,1.80249267959937,91.31591136,..,..,33.2760691774261,130.9702366,..,..,132109,940407766.641077,-25093141435.1896,..
2005,YR2005,Austria,AUT,8227829,0.681267248299787,83879,99.7070891904993,12.6,0.2,319010043032.46,38770,287476798281.967,34940,8.8,79.3317073170732,1.41,13.004,..,98.6,4.9,..,75,..,100.832618713379,100.35334777832,0.966250002384186,..,38506.7,..,6.44431818181818,0.204609524563365,4085.56765095628,9.26611355969716,7977.68159741774,316092273276.015,2.24406532463878,2.53779415754438,1.25939963482441,27.0742425967636,48.6197522046932,45.4140534786122,23.825245637086,43.5413113992351,25,..,25.5139554642579,0.850142574026263,105.3234981,..,..,79.8845847710761,95.04421568,..,..,50282,2313507128.00776,81096089418.116,..
2005,YR2005,Azerbaijan,AZE,8391850,1.02226559239828,86600,101.522501814662,..,0,10804721601.2257,1290,50112940094.2678,5970,10.8,67.562,2,38.001,..,94.4,52,..,67,93.4306182861328,95.526969909668,..,..,0.2,10098.573,..,145.409735058534,1.40475551381099,1599.9606761322,3.57966371128265,2388.38873430769,13245716099.0057,27.9615381082131,14.7234965182528,9.08684368137353,58.5242563385905,62.9411060091835,52.9007785985227,41.5348372928728,..,113,..,..,2.29906967458575,25.90039991,..,78.8888888888889,90.5877787981633,136.990691,2247015897.2,2.90572307824734,16436,623235000,4476396000,210399993.896484
2005,YR2005,"Bahamas, The",BHS,347804,1.36492139898865,13880,34.7456543456543,..,..,9932036863.30333,28560,9974318030.5535,28680,..,72.765,2.05,44.139,..,98.7,16.9,..,85,101.865493774414,100.398338317871,88.4579315185547,0.979839980602264,2,5098.6,..,..,1.41578081415146,2001.12707156904,6.06663492971855,..,9836200000,3.39526008245915,5.05684575856435,1.06443545271548,10.8090522762856,38.7598869482117,42.6363839694191,27.3367763973892,11.22147780647,..,59.5382363107704,10.0017079766577,..,65.48832101,..,..,29.0864358187105,99.88593594,..,..,800,..,563414700,..
2005,YR2005,Bahrain,BHR,901921,7.89520208580362,740,1218.81216216216,..,..,14713723046.3239,16310,39345206906.1066,43620,..,76.931,2.619,19.42,..,97.5,10.6,..,99,101.628448486328,95.745979309082,96.2000732421875,1.06912994384766,0.1,4.45,..,5696.59091,7.92131636610236,11510.3185312239,22.9399254857771,21024.0142983698,15968723404.2553,6.76899787107483,13.7349678263372,..,..,83.8940482059345,64.4194769029886,26.7352737398905,..,..,..,..,3.21438109533007,85.05212763,..,..,122.95910889638,125.7977302,..,..,53401,..,1048601306.14142,..
2005,YR2005,Bangladesh,BGD,140912590,1.51797511096499,148460,1082.52738726281,40,24,76597955075.9758,540,303067115075.301,2150,8.8,67.299,2.808,121.664,..,..,64.5,37.3,88,66.3205490112305,101.647811889648,46.9628295898438,1.05332005023956,0.1,19043.351,..,..,4.14458215704186,161.758867678183,0.232129713068738,173.731814878997,69442943089.4309,6.53594494076071,4.58636070444946,18.5710395455964,23.2998442190711,14.3928418979283,20.0040929665367,25.8304355145863,8.9489913342907,..,..,7.13567003946154,1.09089436952842,6.386938172,..,72.2222222222222,33.38856184442,81.55326077,18503086016.3,7.6125178519162,-715970,4314502845.76468,813321971.875196,1251619995.11719
2005,YR2005,Barbados,BRB,269477,0.361350772944923,430,626.690697674419,..,..,3658306711.22345,13580,3909113037.30563,14510,..,74.89,1.788,47.61,..,100,15.7,..,93,91.6477966308594,96.1287536621094,108.539001464844,0.993229985237122,0.9,63,..,87.5,-0.233627825573633,1447.24781706788,5.26946625160834,..,3819500000,3.95545760352627,6.66772455718502,1.58659510407121,14.9456735174761,44.8147663306716,52.8014137976175,18.9187066369944,27.9799688302134,..,..,26.7347427673779,..,76.51487882,..,..,51.3941615394685,114.8457615,..,..,-172,94455423.8,390061395.8643,-629999.995231628
2005,YR2005,Belarus,BLR,9663915,-0.683005560010688,207600,47.6446879945571,12.7,0.9,27219203595.9616,2820,93400148664.821,9660,8.9,68.8512195121951,1.252,22.343,72.6,100,8.7,1.3,99,98.8684463500977,98.4313812255859,..,..,0.1,84515,..,5.01764705882353,-0.0354759540457049,2768.82153868282,5.87546545880183,3245.37208781327,30207567316.6202,9.40000152357688,18.9721606003942,8.51859080856531,37.8387848851416,59.7978087236099,59.08654296872,28.4604661956657,33.7785670484776,80,..,20.1496562779039,1.49845313530187,41.26253389,..,83.3333333333333,108.20798529518,99.36761952,5300175946.7,3.95663835761126,-11902,198600000,306600000,58009998.3215332
2005,YR2005,Belgium,BEL,10478617,0.550055708089009,30530,346.057364597094,..,0.2,395908859774.115,37780,352001708926.337,33590,8.7,78.9804878048781,1.76,10.783,..,..,5,..,88,..,100.462341308594,159.89013671875,1.06991994380951,..,6785.85,..,53.2175,0.604479238401223,5555.61578402951,10.5557823718867,8509.99707308703,385714762230.039,2.32173705381926,2.08307421275387,0.840639973990251,22.5737781481988,74.2828289213953,70.2462217485879,23.6810632000764,40.4514807236284,34,..,25.4713299290151,1.09156005763437,91.32561654,..,..,169.322013039909,99.02597331,..,..,46280,6884305723.77046,33662010793.5663,..
